,countyname,fipscounty,neighborname,fipsneighbor
2,"Accomack County, VA",51001,"Accomack County, VA",51001
3,"Accomack County, VA",51001,"Lancaster County, VA",51103
4,"Accomack County, VA",51001,"Mathews County, VA",51115
5,"Accomack County, VA",51001,"Middlesex County, VA",51119
6,"Accomack County, VA",51001,"Northampton County, VA",51131
7,"Accomack County, VA",51001,"Northumberland County, VA",51133
8,"Albemarle County, VA",51003,"Albemarle County, VA",51003
9,"Albemarle County, VA",51003,"Augusta County, VA",51015
10,"Albemarle County, VA",51003,"Buckingham County, VA",51029
11,"Albemarle County, VA",51003,"Fluvanna County, VA",51065
12,"Albemarle County, VA",51003,"Greene County, VA",51079
13,"Albemarle County, VA",51003,"Louisa County, VA",51109
14,"Albemarle County, VA",51003,"Nelson County, VA",51125
15,"Albemarle County, VA",51003,"Orange County, VA",51137
16,"Albemarle County, VA",51003,"Rockingham County, VA",51165
17,"Albemarle County, VA",51003,"Charlottesville city, VA",51540
18,"Alleghany County, VA",51005,"Alleghany County, VA",51005
19,"Alleghany County, VA",51005,"Bath County, VA",51017
20,"Alleghany County, VA",51005,"Botetourt County, VA",51023
21,"Alleghany County, VA",51005,"Craig County, VA",51045
22,"Alleghany County, VA",51005,"Rockbridge County, VA",51163
23,"Alleghany County, VA",51005,"Covington city, VA",51580
26,"Amelia County, VA",51007,"Amelia County, VA",51007
27,"Amelia County, VA",51007,"Chesterfield County, VA",51041
28,"Amelia County, VA",51007,"Cumberland County, VA",51049
29,"Amelia County, VA",51007,"Dinwiddie County, VA",51053
30,"Amelia County, VA",51007,"Nottoway County, VA",51135
31,"Amelia County, VA",51007,"Powhatan County, VA",51145
32,"Amelia County, VA",51007,"Prince Edward County, VA",51147
33,"Amherst County, VA",51009,"Amherst County, VA",51009
34,"Amherst County, VA",51009,"Appomattox County, VA",51011
35,"Amherst County, VA",51009,"Bedford County, VA",51019
36,"Amherst County, VA",51009,"Campbell County, VA",51031
37,"Amherst County, VA",51009,"Nelson County, VA",51125
38,"Amherst County, VA",51009,"Rockbridge County, VA",51163
39,"Amherst County, VA",51009,"Lynchburg city, VA",51680
40,"Appomattox County, VA",51011,"Amherst County, VA",51009
41,"Appomattox County, VA",51011,"Appomattox County, VA",51011
42,"Appomattox County, VA",51011,"Buckingham County, VA",51029
43,"Appomattox County, VA",51011,"Campbell County, VA",51031
44,"Appomattox County, VA",51011,"Charlotte County, VA",51037
45,"Appomattox County, VA",51011,"Nelson County, VA",51125
46,"Appomattox County, VA",51011,"Prince Edward County, VA",51147
49,"Arlington County, VA",51013,"Arlington County, VA",51013
50,"Arlington County, VA",51013,"Fairfax County, VA",51059
51,"Arlington County, VA",51013,"Alexandria city, VA",51510
52,"Arlington County, VA",51013,"Falls Church city, VA",51610
53,"Augusta County, VA",51015,"Albemarle County, VA",51003
54,"Augusta County, VA",51015,"Augusta County, VA",51015
55,"Augusta County, VA",51015,"Bath County, VA",51017
56,"Augusta County, VA",51015,"Highland County, VA",51091
57,"Augusta County, VA",51015,"Nelson County, VA",51125
58,"Augusta County, VA",51015,"Rockbridge County, VA",51163
59,"Augusta County, VA",51015,"Rockingham County, VA",51165
60,"Augusta County, VA",51015,"Staunton city, VA",51790
61,"Augusta County, VA",51015,"Waynesboro city, VA",51820
63,"Bath County, VA",51017,"Alleghany County, VA",51005
64,"Bath County, VA",51017,"Augusta County, VA",51015
65,"Bath County, VA",51017,"Bath County, VA",51017
66,"Bath County, VA",51017,"Highland County, VA",51091
67,"Bath County, VA",51017,"Rockbridge County, VA",51163
70,"Bedford County, VA",51019,"Amherst County, VA",51009
71,"Bedford County, VA",51019,"Bedford County, VA",51019
72,"Bedford County, VA",51019,"Botetourt County, VA",51023
73,"Bedford County, VA",51019,"Campbell County, VA",51031
74,"Bedford County, VA",51019,"Franklin County, VA",51067
75,"Bedford County, VA",51019,"Pittsylvania County, VA",51143
76,"Bedford County, VA",51019,"Roanoke County, VA",51161
77,"Bedford County, VA",51019,"Rockbridge County, VA",51163
79,"Bedford County, VA",51019,"Lynchburg city, VA",51680
80,"Bland County, VA",51021,"Bland County, VA",51021
81,"Bland County, VA",51021,"Giles County, VA",51071
82,"Bland County, VA",51021,"Pulaski County, VA",51155
83,"Bland County, VA",51021,"Smyth County, VA",51173
84,"Bland County, VA",51021,"Tazewell County, VA",51185
85,"Bland County, VA",51021,"Wythe County, VA",51197
87,"Botetourt County, VA",51023,"Alleghany County, VA",51005
88,"Botetourt County, VA",51023,"Bedford County, VA",51019
89,"Botetourt County, VA",51023,"Botetourt County, VA",51023
90,"Botetourt County, VA",51023,"Craig County, VA",51045
91,"Botetourt County, VA",51023,"Roanoke County, VA",51161
92,"Botetourt County, VA",51023,"Rockbridge County, VA",51163
95,"Brunswick County, VA",51025,"Brunswick County, VA",51025
96,"Brunswick County, VA",51025,"Dinwiddie County, VA",51053
97,"Brunswick County, VA",51025,"Greensville County, VA",51081
98,"Brunswick County, VA",51025,"Lunenburg County, VA",51111
99,"Brunswick County, VA",51025,"Mecklenburg County, VA",51117
100,"Brunswick County, VA",51025,"Nottoway County, VA",51135
102,"Buchanan County, VA",51027,"Buchanan County, VA",51027
103,"Buchanan County, VA",51027,"Dickenson County, VA",51051
104,"Buchanan County, VA",51027,"Russell County, VA",51167
105,"Buchanan County, VA",51027,"Tazewell County, VA",51185
108,"Buckingham County, VA",51029,"Albemarle County, VA",51003
109,"Buckingham County, VA",51029,"Appomattox County, VA",51011
110,"Buckingham County, VA",51029,"Buckingham County, VA",51029
111,"Buckingham County, VA",51029,"Cumberland County, VA",51049
112,"Buckingham County, VA",51029,"Fluvanna County, VA",51065
113,"Buckingham County, VA",51029,"Nelson County, VA",51125
114,"Buckingham County, VA",51029,"Prince Edward County, VA",51147
115,"Campbell County, VA",51031,"Amherst County, VA",51009
116,"Campbell County, VA",51031,"Appomattox County, VA",51011
117,"Campbell County, VA",51031,"Bedford County, VA",51019
118,"Campbell County, VA",51031,"Campbell County, VA",51031
119,"Campbell County, VA",51031,"Charlotte County, VA",51037
120,"Campbell County, VA",51031,"Halifax County, VA",51083
121,"Campbell County, VA",51031,"Pittsylvania County, VA",51143
122,"Campbell County, VA",51031,"Lynchburg city, VA",51680
123,"Caroline County, VA",51033,"Caroline County, VA",51033
124,"Caroline County, VA",51033,"Essex County, VA",51057
125,"Caroline County, VA",51033,"Hanover County, VA",51085
126,"Caroline County, VA",51033,"King and Queen County, VA",51097
127,"Caroline County, VA",51033,"King George County, VA",51099
128,"Caroline County, VA",51033,"King William County, VA",51101
129,"Caroline County, VA",51033,"Spotsylvania County, VA",51177
130,"Caroline County, VA",51033,"Stafford County, VA",51179
132,"Carroll County, VA",51035,"Carroll County, VA",51035
133,"Carroll County, VA",51035,"Floyd County, VA",51063
134,"Carroll County, VA",51035,"Grayson County, VA",51077
135,"Carroll County, VA",51035,"Patrick County, VA",51141
136,"Carroll County, VA",51035,"Pulaski County, VA",51155
137,"Carroll County, VA",51035,"Wythe County, VA",51197
138,"Carroll County, VA",51035,"Galax city, VA",51640
139,"Charles City County, VA",51036,"Charles City County, VA",51036
140,"Charles City County, VA",51036,"Chesterfield County, VA",51041
141,"Charles City County, VA",51036,"Henrico County, VA",51087
142,"Charles City County, VA",51036,"James City County, VA",51095
143,"Charles City County, VA",51036,"New Kent County, VA",51127
144,"Charles City County, VA",51036,"Prince George County, VA",51149
145,"Charles City County, VA",51036,"Surry County, VA",51181
146,"Charlotte County, VA",51037,"Appomattox County, VA",51011
147,"Charlotte County, VA",51037,"Campbell County, VA",51031
148,"Charlotte County, VA",51037,"Charlotte County, VA",51037
149,"Charlotte County, VA",51037,"Halifax County, VA",51083
150,"Charlotte County, VA",51037,"Lunenburg County, VA",51111
151,"Charlotte County, VA",51037,"Mecklenburg County, VA",51117
152,"Charlotte County, VA",51037,"Prince Edward County, VA",51147
153,"Chesterfield County, VA",51041,"Amelia County, VA",51007
154,"Chesterfield County, VA",51041,"Charles City County, VA",51036
155,"Chesterfield County, VA",51041,"Chesterfield County, VA",51041
156,"Chesterfield County, VA",51041,"Dinwiddie County, VA",51053
157,"Chesterfield County, VA",51041,"Goochland County, VA",51075
158,"Chesterfield County, VA",51041,"Henrico County, VA",51087
159,"Chesterfield County, VA",51041,"Powhatan County, VA",51145
160,"Chesterfield County, VA",51041,"Prince George County, VA",51149
161,"Chesterfield County, VA",51041,"Colonial Heights city, VA",51570
162,"Chesterfield County, VA",51041,"Hopewell city, VA",51670
163,"Chesterfield County, VA",51041,"Petersburg city, VA",51730
164,"Chesterfield County, VA",51041,"Richmond city, VA",51760
165,"Clarke County, VA",51043,"Clarke County, VA",51043
166,"Clarke County, VA",51043,"Fauquier County, VA",51061
167,"Clarke County, VA",51043,"Frederick County, VA",51069
168,"Clarke County, VA",51043,"Loudoun County, VA",51107
169,"Clarke County, VA",51043,"Warren County, VA",51187
172,"Craig County, VA",51045,"Alleghany County, VA",51005
173,"Craig County, VA",51045,"Botetourt County, VA",51023
174,"Craig County, VA",51045,"Craig County, VA",51045
175,"Craig County, VA",51045,"Giles County, VA",51071
176,"Craig County, VA",51045,"Montgomery County, VA",51121
177,"Craig County, VA",51045,"Roanoke County, VA",51161
179,"Culpeper County, VA",51047,"Culpeper County, VA",51047
180,"Culpeper County, VA",51047,"Fauquier County, VA",51061
181,"Culpeper County, VA",51047,"Madison County, VA",51113
182,"Culpeper County, VA",51047,"Orange County, VA",51137
183,"Culpeper County, VA",51047,"Rappahannock County, VA",51157
184,"Culpeper County, VA",51047,"Spotsylvania County, VA",51177
185,"Culpeper County, VA",51047,"Stafford County, VA",51179
186,"Cumberland County, VA",51049,"Amelia County, VA",51007
187,"Cumberland County, VA",51049,"Buckingham County, VA",51029
188,"Cumberland County, VA",51049,"Cumberland County, VA",51049
189,"Cumberland County, VA",51049,"Fluvanna County, VA",51065
190,"Cumberland County, VA",51049,"Goochland County, VA",51075
191,"Cumberland County, VA",51049,"Powhatan County, VA",51145
192,"Cumberland County, VA",51049,"Prince Edward County, VA",51147
194,"Dickenson County, VA",51051,"Buchanan County, VA",51027
195,"Dickenson County, VA",51051,"Dickenson County, VA",51051
196,"Dickenson County, VA",51051,"Russell County, VA",51167
197,"Dickenson County, VA",51051,"Wise County, VA",51195
198,"Dinwiddie County, VA",51053,"Amelia County, VA",51007
199,"Dinwiddie County, VA",51053,"Brunswick County, VA",51025
200,"Dinwiddie County, VA",51053,"Chesterfield County, VA",51041
201,"Dinwiddie County, VA",51053,"Dinwiddie County, VA",51053
202,"Dinwiddie County, VA",51053,"Greensville County, VA",51081
203,"Dinwiddie County, VA",51053,"Nottoway County, VA",51135
204,"Dinwiddie County, VA",51053,"Prince George County, VA",51149
205,"Dinwiddie County, VA",51053,"Sussex County, VA",51183
206,"Dinwiddie County, VA",51053,"Petersburg city, VA",51730
207,"Essex County, VA",51057,"Caroline County, VA",51033
208,"Essex County, VA",51057,"Essex County, VA",51057
209,"Essex County, VA",51057,"King and Queen County, VA",51097
210,"Essex County, VA",51057,"King George County, VA",51099
211,"Essex County, VA",51057,"Lancaster County, VA",51103
212,"Essex County, VA",51057,"Middlesex County, VA",51119
213,"Essex County, VA",51057,"Richmond County, VA",51159
214,"Essex County, VA",51057,"Westmoreland County, VA",51193
219,"Fairfax County, VA",51059,"Arlington County, VA",51013
220,"Fairfax County, VA",51059,"Fairfax County, VA",51059
221,"Fairfax County, VA",51059,"Loudoun County, VA",51107
222,"Fairfax County, VA",51059,"Prince William County, VA",51153
223,"Fairfax County, VA",51059,"Alexandria city, VA",51510
224,"Fairfax County, VA",51059,"Fairfax city, VA",51600
225,"Fairfax County, VA",51059,"Falls Church city, VA",51610
226,"Fauquier County, VA",51061,"Clarke County, VA",51043
227,"Fauquier County, VA",51061,"Culpeper County, VA",51047
228,"Fauquier County, VA",51061,"Fauquier County, VA",51061
229,"Fauquier County, VA",51061,"Loudoun County, VA",51107
230,"Fauquier County, VA",51061,"Prince William County, VA",51153
231,"Fauquier County, VA",51061,"Rappahannock County, VA",51157
232,"Fauquier County, VA",51061,"Stafford County, VA",51179
233,"Fauquier County, VA",51061,"Warren County, VA",51187
234,"Floyd County, VA",51063,"Carroll County, VA",51035
235,"Floyd County, VA",51063,"Floyd County, VA",51063
236,"Floyd County, VA",51063,"Franklin County, VA",51067
237,"Floyd County, VA",51063,"Montgomery County, VA",51121
238,"Floyd County, VA",51063,"Patrick County, VA",51141
239,"Floyd County, VA",51063,"Pulaski County, VA",51155
240,"Floyd County, VA",51063,"Roanoke County, VA",51161
241,"Fluvanna County, VA",51065,"Albemarle County, VA",51003
242,"Fluvanna County, VA",51065,"Buckingham County, VA",51029
243,"Fluvanna County, VA",51065,"Cumberland County, VA",51049
244,"Fluvanna County, VA",51065,"Fluvanna County, VA",51065
245,"Fluvanna County, VA",51065,"Goochland County, VA",51075
246,"Fluvanna County, VA",51065,"Louisa County, VA",51109
247,"Franklin County, VA",51067,"Bedford County, VA",51019
248,"Franklin County, VA",51067,"Floyd County, VA",51063
249,"Franklin County, VA",51067,"Franklin County, VA",51067
250,"Franklin County, VA",51067,"Henry County, VA",51089
251,"Franklin County, VA",51067,"Patrick County, VA",51141
252,"Franklin County, VA",51067,"Pittsylvania County, VA",51143
253,"Franklin County, VA",51067,"Roanoke County, VA",51161
254,"Frederick County, VA",51069,"Clarke County, VA",51043
255,"Frederick County, VA",51069,"Frederick County, VA",51069
256,"Frederick County, VA",51069,"Shenandoah County, VA",51171
257,"Frederick County, VA",51069,"Warren County, VA",51187
258,"Frederick County, VA",51069,"Winchester city, VA",51840
264,"Giles County, VA",51071,"Bland County, VA",51021
265,"Giles County, VA",51071,"Craig County, VA",51045
266,"Giles County, VA",51071,"Giles County, VA",51071
267,"Giles County, VA",51071,"Montgomery County, VA",51121
268,"Giles County, VA",51071,"Pulaski County, VA",51155
272,"Gloucester County, VA",51073,"Gloucester County, VA",51073
273,"Gloucester County, VA",51073,"James City County, VA",51095
274,"Gloucester County, VA",51073,"King and Queen County, VA",51097
275,"Gloucester County, VA",51073,"Mathews County, VA",51115
276,"Gloucester County, VA",51073,"Middlesex County, VA",51119
277,"Gloucester County, VA",51073,"York County, VA",51199
278,"Goochland County, VA",51075,"Chesterfield County, VA",51041
279,"Goochland County, VA",51075,"Cumberland County, VA",51049
280,"Goochland County, VA",51075,"Fluvanna County, VA",51065
281,"Goochland County, VA",51075,"Goochland County, VA",51075
282,"Goochland County, VA",51075,"Hanover County, VA",51085
283,"Goochland County, VA",51075,"Henrico County, VA",51087
284,"Goochland County, VA",51075,"Louisa County, VA",51109
285,"Goochland County, VA",51075,"Powhatan County, VA",51145
290,"Grayson County, VA",51077,"Carroll County, VA",51035
291,"Grayson County, VA",51077,"Grayson County, VA",51077
292,"Grayson County, VA",51077,"Smyth County, VA",51173
293,"Grayson County, VA",51077,"Washington County, VA",51191
294,"Grayson County, VA",51077,"Wythe County, VA",51197
295,"Grayson County, VA",51077,"Galax city, VA",51640
296,"Greene County, VA",51079,"Albemarle County, VA",51003
297,"Greene County, VA",51079,"Greene County, VA",51079
298,"Greene County, VA",51079,"Madison County, VA",51113
299,"Greene County, VA",51079,"Orange County, VA",51137
300,"Greene County, VA",51079,"Page County, VA",51139
301,"Greene County, VA",51079,"Rockingham County, VA",51165
303,"Greensville County, VA",51081,"Brunswick County, VA",51025
304,"Greensville County, VA",51081,"Dinwiddie County, VA",51053
305,"Greensville County, VA",51081,"Greensville County, VA",51081
306,"Greensville County, VA",51081,"Southampton County, VA",51175
307,"Greensville County, VA",51081,"Sussex County, VA",51183
308,"Greensville County, VA",51081,"Emporia city, VA",51595
312,"Halifax County, VA",51083,"Campbell County, VA",51031
313,"Halifax County, VA",51083,"Charlotte County, VA",51037
314,"Halifax County, VA",51083,"Halifax County, VA",51083
315,"Halifax County, VA",51083,"Mecklenburg County, VA",51117
316,"Halifax County, VA",51083,"Pittsylvania County, VA",51143
317,"Hanover County, VA",51085,"Caroline County, VA",51033
318,"Hanover County, VA",51085,"Goochland County, VA",51075
319,"Hanover County, VA",51085,"Hanover County, VA",51085
320,"Hanover County, VA",51085,"Henrico County, VA",51087
321,"Hanover County, VA",51085,"King William County, VA",51101
322,"Hanover County, VA",51085,"Louisa County, VA",51109
323,"Hanover County, VA",51085,"New Kent County, VA",51127
324,"Hanover County, VA",51085,"Spotsylvania County, VA",51177
325,"Henrico County, VA",51087,"Charles City County, VA",51036
326,"Henrico County, VA",51087,"Chesterfield County, VA",51041
327,"Henrico County, VA",51087,"Goochland County, VA",51075
328,"Henrico County, VA",51087,"Hanover County, VA",51085
329,"Henrico County, VA",51087,"Henrico County, VA",51087
330,"Henrico County, VA",51087,"New Kent County, VA",51127
331,"Henrico County, VA",51087,"Powhatan County, VA",51145
332,"Henrico County, VA",51087,"Richmond city, VA",51760
335,"Henry County, VA",51089,"Franklin County, VA",51067
336,"Henry County, VA",51089,"Henry County, VA",51089
337,"Henry County, VA",51089,"Patrick County, VA",51141
338,"Henry County, VA",51089,"Pittsylvania County, VA",51143
339,"Henry County, VA",51089,"Martinsville city, VA",51690
340,"Highland County, VA",51091,"Augusta County, VA",51015
341,"Highland County, VA",51091,"Bath County, VA",51017
342,"Highland County, VA",51091,"Highland County, VA",51091
345,"Isle of Wight County, VA",51093,"Isle of Wight County, VA",51093
346,"Isle of Wight County, VA",51093,"James City County, VA",51095
347,"Isle of Wight County, VA",51093,"Southampton County, VA",51175
348,"Isle of Wight County, VA",51093,"Surry County, VA",51181
349,"Isle of Wight County, VA",51093,"Franklin city, VA",51620
350,"Isle of Wight County, VA",51093,"Newport News city, VA",51700
351,"Isle of Wight County, VA",51093,"Suffolk city, VA",51800
352,"James City County, VA",51095,"Charles City County, VA",51036
353,"James City County, VA",51095,"Gloucester County, VA",51073
354,"James City County, VA",51095,"Isle of Wight County, VA",51093
355,"James City County, VA",51095,"James City County, VA",51095
356,"James City County, VA",51095,"King and Queen County, VA",51097
357,"James City County, VA",51095,"New Kent County, VA",51127
358,"James City County, VA",51095,"Surry County, VA",51181
359,"James City County, VA",51095,"York County, VA",51199
360,"James City County, VA",51095,"Newport News city, VA",51700
361,"James City County, VA",51095,"Williamsburg city, VA",51830
362,"King and Queen County, VA",51097,"Caroline County, VA",51033
363,"King and Queen County, VA",51097,"Essex County, VA",51057
364,"King and Queen County, VA",51097,"Gloucester County, VA",51073
365,"King and Queen County, VA",51097,"James City County, VA",51095
366,"King and Queen County, VA",51097,"King and Queen County, VA",51097
367,"King and Queen County, VA",51097,"King William County, VA",51101
368,"King and Queen County, VA",51097,"Middlesex County, VA",51119
369,"King and Queen County, VA",51097,"New Kent County, VA",51127
371,"King George County, VA",51099,"Caroline County, VA",51033
372,"King George County, VA",51099,"Essex County, VA",51057
373,"King George County, VA",51099,"King George County, VA",51099
374,"King George County, VA",51099,"Stafford County, VA",51179
375,"King George County, VA",51099,"Westmoreland County, VA",51193
376,"King William County, VA",51101,"Caroline County, VA",51033
377,"King William County, VA",51101,"Hanover County, VA",51085
378,"King William County, VA",51101,"King and Queen County, VA",51097
379,"King William County, VA",51101,"King William County, VA",51101
380,"King William County, VA",51101,"New Kent County, VA",51127
381,"Lancaster County, VA",51103,"Accomack County, VA",51001
382,"Lancaster County, VA",51103,"Essex County, VA",51057
383,"Lancaster County, VA",51103,"Lancaster County, VA",51103
384,"Lancaster County, VA",51103,"Middlesex County, VA",51119
385,"Lancaster County, VA",51103,"Northumberland County, VA",51133
386,"Lancaster County, VA",51103,"Richmond County, VA",51159
391,"Lee County, VA",51105,"Lee County, VA",51105
392,"Lee County, VA",51105,"Scott County, VA",51169
393,"Lee County, VA",51105,"Wise County, VA",51195
397,"Loudoun County, VA",51107,"Clarke County, VA",51043
398,"Loudoun County, VA",51107,"Fairfax County, VA",51059
399,"Loudoun County, VA",51107,"Fauquier County, VA",51061
400,"Loudoun County, VA",51107,"Loudoun County, VA",51107
401,"Loudoun County, VA",51107,"Prince William County, VA",51153
403,"Louisa County, VA",51109,"Albemarle County, VA",51003
404,"Louisa County, VA",51109,"Fluvanna County, VA",51065
405,"Louisa County, VA",51109,"Goochland County, VA",51075
406,"Louisa County, VA",51109,"Hanover County, VA",51085
407,"Louisa County, VA",51109,"Louisa County, VA",51109
408,"Louisa County, VA",51109,"Orange County, VA",51137
409,"Louisa County, VA",51109,"Spotsylvania County, VA",51177
410,"Lunenburg County, VA",51111,"Brunswick County, VA",51025
411,"Lunenburg County, VA",51111,"Charlotte County, VA",51037
412,"Lunenburg County, VA",51111,"Lunenburg County, VA",51111
413,"Lunenburg County, VA",51111,"Mecklenburg County, VA",51117
414,"Lunenburg County, VA",51111,"Nottoway County, VA",51135
415,"Lunenburg County, VA",51111,"Prince Edward County, VA",51147
416,"Madison County, VA",51113,"Culpeper County, VA",51047
417,"Madison County, VA",51113,"Greene County, VA",51079
418,"Madison County, VA",51113,"Madison County, VA",51113
419,"Madison County, VA",51113,"Orange County, VA",51137
420,"Madison County, VA",51113,"Page County, VA",51139
421,"Madison County, VA",51113,"Rappahannock County, VA",51157
422,"Mathews County, VA",51115,"Accomack County, VA",51001
423,"Mathews County, VA",51115,"Gloucester County, VA",51073
424,"Mathews County, VA",51115,"Mathews County, VA",51115
425,"Mathews County, VA",51115,"Middlesex County, VA",51119
426,"Mathews County, VA",51115,"Northampton County, VA",51131
427,"Mathews County, VA",51115,"York County, VA",51199
431,"Mecklenburg County, VA",51117,"Brunswick County, VA",51025
432,"Mecklenburg County, VA",51117,"Charlotte County, VA",51037
433,"Mecklenburg County, VA",51117,"Halifax County, VA",51083
434,"Mecklenburg County, VA",51117,"Lunenburg County, VA",51111
435,"Mecklenburg County, VA",51117,"Mecklenburg County, VA",51117
436,"Middlesex County, VA",51119,"Accomack County, VA",51001
