,countyname,fipscounty,neighborname,fipsneighbor
437,"Middlesex County, VA",51119,"Essex County, VA",51057
438,"Middlesex County, VA",51119,"Gloucester County, VA",51073
439,"Middlesex County, VA",51119,"King and Queen County, VA",51097
440,"Middlesex County, VA",51119,"Lancaster County, VA",51103
441,"Middlesex County, VA",51119,"Mathews County, VA",51115
442,"Middlesex County, VA",51119,"Middlesex County, VA",51119
443,"Middlesex County, VA",51119,"Northampton County, VA",51131
444,"Middlesex County, VA",51119,"Richmond County, VA",51159
445,"Montgomery County, VA",51121,"Craig County, VA",51045
446,"Montgomery County, VA",51121,"Floyd County, VA",51063
447,"Montgomery County, VA",51121,"Giles County, VA",51071
448,"Montgomery County, VA",51121,"Montgomery County, VA",51121
449,"Montgomery County, VA",51121,"Pulaski County, VA",51155
450,"Montgomery County, VA",51121,"Roanoke County, VA",51161
451,"Montgomery County, VA",51121,"Radford city, VA",51750
452,"Nelson County, VA",51125,"Albemarle County, VA",51003
453,"Nelson County, VA",51125,"Amherst County, VA",51009
454,"Nelson County, VA",51125,"Appomattox County, VA",51011
455,"Nelson County, VA",51125,"Augusta County, VA",51015
456,"Nelson County, VA",51125,"Buckingham County, VA",51029
457,"Nelson County, VA",51125,"Nelson County, VA",51125
458,"Nelson County, VA",51125,"Rockbridge County, VA",51163
459,"New Kent County, VA",51127,"Charles City County, VA",51036
460,"New Kent County, VA",51127,"Hanover County, VA",51085
461,"New Kent County, VA",51127,"Henrico County, VA",51087
462,"New Kent County, VA",51127,"James City County, VA",51095
463,"New Kent County, VA",51127,"King and Queen County, VA",51097
464,"New Kent County, VA",51127,"King William County, VA",51101
465,"New Kent County, VA",51127,"New Kent County, VA",51127
466,"Northampton County, VA",51131,"Accomack County, VA",51001
467,"Northampton County, VA",51131,"Mathews County, VA",51115
468,"Northampton County, VA",51131,"Middlesex County, VA",51119
469,"Northampton County, VA",51131,"Northampton County, VA",51131
470,"Northampton County, VA",51131,"York County, VA",51199
471,"Northampton County, VA",51131,"Hampton city, VA",51650
472,"Northampton County, VA",51131,"Norfolk city, VA",51710
473,"Northampton County, VA",51131,"Poquoson city, VA",51735
474,"Northampton County, VA",51131,"Virginia Beach city, VA",51810
477,"Northumberland County, VA",51133,"Accomack County, VA",51001
478,"Northumberland County, VA",51133,"Lancaster County, VA",51103
479,"Northumberland County, VA",51133,"Northumberland County, VA",51133
480,"Northumberland County, VA",51133,"Richmond County, VA",51159
481,"Northumberland County, VA",51133,"Westmoreland County, VA",51193
482,"Nottoway County, VA",51135,"Amelia County, VA",51007
483,"Nottoway County, VA",51135,"Brunswick County, VA",51025
484,"Nottoway County, VA",51135,"Dinwiddie County, VA",51053
485,"Nottoway County, VA",51135,"Lunenburg County, VA",51111
486,"Nottoway County, VA",51135,"Nottoway County, VA",51135
487,"Nottoway County, VA",51135,"Prince Edward County, VA",51147
488,"Orange County, VA",51137,"Albemarle County, VA",51003
489,"Orange County, VA",51137,"Culpeper County, VA",51047
490,"Orange County, VA",51137,"Greene County, VA",51079
491,"Orange County, VA",51137,"Louisa County, VA",51109
492,"Orange County, VA",51137,"Madison County, VA",51113
493,"Orange County, VA",51137,"Orange County, VA",51137
494,"Orange County, VA",51137,"Spotsylvania County, VA",51177
495,"Page County, VA",51139,"Greene County, VA",51079
496,"Page County, VA",51139,"Madison County, VA",51113
497,"Page County, VA",51139,"Page County, VA",51139
498,"Page County, VA",51139,"Rappahannock County, VA",51157
499,"Page County, VA",51139,"Rockingham County, VA",51165
500,"Page County, VA",51139,"Shenandoah County, VA",51171
501,"Page County, VA",51139,"Warren County, VA",51187
504,"Patrick County, VA",51141,"Carroll County, VA",51035
505,"Patrick County, VA",51141,"Floyd County, VA",51063
506,"Patrick County, VA",51141,"Franklin County, VA",51067
507,"Patrick County, VA",51141,"Henry County, VA",51089
508,"Patrick County, VA",51141,"Patrick County, VA",51141
511,"Pittsylvania County, VA",51143,"Bedford County, VA",51019
512,"Pittsylvania County, VA",51143,"Campbell County, VA",51031
513,"Pittsylvania County, VA",51143,"Franklin County, VA",51067
514,"Pittsylvania County, VA",51143,"Halifax County, VA",51083
515,"Pittsylvania County, VA",51143,"Henry County, VA",51089
516,"Pittsylvania County, VA",51143,"Pittsylvania County, VA",51143
517,"Pittsylvania County, VA",51143,"Danville city, VA",51590
518,"Powhatan County, VA",51145,"Amelia County, VA",51007
519,"Powhatan County, VA",51145,"Chesterfield County, VA",51041
520,"Powhatan County, VA",51145,"Cumberland County, VA",51049
521,"Powhatan County, VA",51145,"Goochland County, VA",51075
522,"Powhatan County, VA",51145,"Henrico County, VA",51087
523,"Powhatan County, VA",51145,"Powhatan County, VA",51145
524,"Prince Edward County, VA",51147,"Amelia County, VA",51007
525,"Prince Edward County, VA",51147,"Appomattox County, VA",51011
526,"Prince Edward County, VA",51147,"Buckingham County, VA",51029
527,"Prince Edward County, VA",51147,"Charlotte County, VA",51037
528,"Prince Edward County, VA",51147,"Cumberland County, VA",51049
529,"Prince Edward County, VA",51147,"Lunenburg County, VA",51111
530,"Prince Edward County, VA",51147,"Nottoway County, VA",51135
531,"Prince Edward County, VA",51147,"Prince Edward County, VA",51147
532,"Prince George County, VA",51149,"Charles City County, VA",51036
533,"Prince George County, VA",51149,"Chesterfield County, VA",51041
534,"Prince George County, VA",51149,"Dinwiddie County, VA",51053
535,"Prince George County, VA",51149,"Prince George County, VA",51149
536,"Prince George County, VA",51149,"Surry County, VA",51181
537,"Prince George County, VA",51149,"Sussex County, VA",51183
538,"Prince George County, VA",51149,"Hopewell city, VA",51670
539,"Prince George County, VA",51149,"Petersburg city, VA",51730
541,"Prince William County, VA",51153,"Fairfax County, VA",51059
542,"Prince William County, VA",51153,"Fauquier County, VA",51061
543,"Prince William County, VA",51153,"Loudoun County, VA",51107
544,"Prince William County, VA",51153,"Prince William County, VA",51153
545,"Prince William County, VA",51153,"Stafford County, VA",51179
546,"Prince William County, VA",51153,"Manassas city, VA",51683
547,"Prince William County, VA",51153,"Manassas Park city, VA",51685
548,"Pulaski County, VA",51155,"Bland County, VA",51021
549,"Pulaski County, VA",51155,"Carroll County, VA",51035
550,"Pulaski County, VA",51155,"Floyd County, VA",51063
551,"Pulaski County, VA",51155,"Giles County, VA",51071
552,"Pulaski County, VA",51155,"Montgomery County, VA",51121
553,"Pulaski County, VA",51155,"Pulaski County, VA",51155
554,"Pulaski County, VA",51155,"Wythe County, VA",51197
555,"Pulaski County, VA",51155,"Radford city, VA",51750
556,"Rappahannock County, VA",51157,"Culpeper County, VA",51047
557,"Rappahannock County, VA",51157,"Fauquier County, VA",51061
558,"Rappahannock County, VA",51157,"Madison County, VA",51113
559,"Rappahannock County, VA",51157,"Page County, VA",51139
560,"Rappahannock County, VA",51157,"Rappahannock County, VA",51157
561,"Rappahannock County, VA",51157,"Warren County, VA",51187
562,"Richmond County, VA",51159,"Essex County, VA",51057
563,"Richmond County, VA",51159,"Lancaster County, VA",51103
564,"Richmond County, VA",51159,"Middlesex County, VA",51119
565,"Richmond County, VA",51159,"Northumberland County, VA",51133
566,"Richmond County, VA",51159,"Richmond County, VA",51159
567,"Richmond County, VA",51159,"Westmoreland County, VA",51193
568,"Roanoke County, VA",51161,"Bedford County, VA",51019
569,"Roanoke County, VA",51161,"Botetourt County, VA",51023
570,"Roanoke County, VA",51161,"Craig County, VA",51045
571,"Roanoke County, VA",51161,"Floyd County, VA",51063
572,"Roanoke County, VA",51161,"Franklin County, VA",51067
573,"Roanoke County, VA",51161,"Montgomery County, VA",51121
574,"Roanoke County, VA",51161,"Roanoke County, VA",51161
575,"Roanoke County, VA",51161,"Roanoke city, VA",51770
576,"Roanoke County, VA",51161,"Salem city, VA",51775
577,"Rockbridge County, VA",51163,"Alleghany County, VA",51005
578,"Rockbridge County, VA",51163,"Amherst County, VA",51009
579,"Rockbridge County, VA",51163,"Augusta County, VA",51015
580,"Rockbridge County, VA",51163,"Bath County, VA",51017
581,"Rockbridge County, VA",51163,"Bedford County, VA",51019
582,"Rockbridge County, VA",51163,"Botetourt County, VA",51023
583,"Rockbridge County, VA",51163,"Nelson County, VA",51125
584,"Rockbridge County, VA",51163,"Rockbridge County, VA",51163
585,"Rockbridge County, VA",51163,"Buena Vista city, VA",51530
586,"Rockbridge County, VA",51163,"Lexington city, VA",51678
587,"Rockingham County, VA",51165,"Albemarle County, VA",51003
588,"Rockingham County, VA",51165,"Augusta County, VA",51015
589,"Rockingham County, VA",51165,"Greene County, VA",51079
590,"Rockingham County, VA",51165,"Page County, VA",51139
591,"Rockingham County, VA",51165,"Rockingham County, VA",51165
592,"Rockingham County, VA",51165,"Shenandoah County, VA",51171
593,"Rockingham County, VA",51165,"Harrisonburg city, VA",51660
596,"Russell County, VA",51167,"Buchanan County, VA",51027
597,"Russell County, VA",51167,"Dickenson County, VA",51051
598,"Russell County, VA",51167,"Russell County, VA",51167
599,"Russell County, VA",51167,"Scott County, VA",51169
600,"Russell County, VA",51167,"Smyth County, VA",51173
601,"Russell County, VA",51167,"Tazewell County, VA",51185
602,"Russell County, VA",51167,"Washington County, VA",51191
603,"Russell County, VA",51167,"Wise County, VA",51195
607,"Scott County, VA",51169,"Lee County, VA",51105
608,"Scott County, VA",51169,"Russell County, VA",51167
609,"Scott County, VA",51169,"Scott County, VA",51169
610,"Scott County, VA",51169,"Washington County, VA",51191
611,"Scott County, VA",51169,"Wise County, VA",51195
612,"Shenandoah County, VA",51171,"Frederick County, VA",51069
613,"Shenandoah County, VA",51171,"Page County, VA",51139
614,"Shenandoah County, VA",51171,"Rockingham County, VA",51165
615,"Shenandoah County, VA",51171,"Shenandoah County, VA",51171
616,"Shenandoah County, VA",51171,"Warren County, VA",51187
618,"Smyth County, VA",51173,"Bland County, VA",51021
619,"Smyth County, VA",51173,"Grayson County, VA",51077
620,"Smyth County, VA",51173,"Russell County, VA",51167
621,"Smyth County, VA",51173,"Smyth County, VA",51173
622,"Smyth County, VA",51173,"Tazewell County, VA",51185
623,"Smyth County, VA",51173,"Washington County, VA",51191
624,"Smyth County, VA",51173,"Wythe County, VA",51197
628,"Southampton County, VA",51175,"Greensville County, VA",51081
629,"Southampton County, VA",51175,"Isle of Wight County, VA",51093
630,"Southampton County, VA",51175,"Southampton County, VA",51175
631,"Southampton County, VA",51175,"Surry County, VA",51181
632,"Southampton County, VA",51175,"Sussex County, VA",51183
633,"Southampton County, VA",51175,"Franklin city, VA",51620
634,"Southampton County, VA",51175,"Suffolk city, VA",51800
635,"Spotsylvania County, VA",51177,"Caroline County, VA",51033
636,"Spotsylvania County, VA",51177,"Culpeper County, VA",51047
637,"Spotsylvania County, VA",51177,"Hanover County, VA",51085
638,"Spotsylvania County, VA",51177,"Louisa County, VA",51109
639,"Spotsylvania County, VA",51177,"Orange County, VA",51137
640,"Spotsylvania County, VA",51177,"Spotsylvania County, VA",51177
641,"Spotsylvania County, VA",51177,"Stafford County, VA",51179
642,"Spotsylvania County, VA",51177,"Fredericksburg city, VA",51630
644,"Stafford County, VA",51179,"Caroline County, VA",51033
645,"Stafford County, VA",51179,"Culpeper County, VA",51047
646,"Stafford County, VA",51179,"Fauquier County, VA",51061
647,"Stafford County, VA",51179,"King George County, VA",51099
648,"Stafford County, VA",51179,"Prince William County, VA",51153
649,"Stafford County, VA",51179,"Spotsylvania County, VA",51177
650,"Stafford County, VA",51179,"Stafford County, VA",51179
651,"Stafford County, VA",51179,"Fredericksburg city, VA",51630
652,"Surry County, VA",51181,"Charles City County, VA",51036
653,"Surry County, VA",51181,"Isle of Wight County, VA",51093
654,"Surry County, VA",51181,"James City County, VA",51095
655,"Surry County, VA",51181,"Prince George County, VA",51149
656,"Surry County, VA",51181,"Southampton County, VA",51175
657,"Surry County, VA",51181,"Surry County, VA",51181
658,"Surry County, VA",51181,"Sussex County, VA",51183
659,"Surry County, VA",51181,"Newport News city, VA",51700
660,"Sussex County, VA",51183,"Dinwiddie County, VA",51053
661,"Sussex County, VA",51183,"Greensville County, VA",51081
662,"Sussex County, VA",51183,"Prince George County, VA",51149
663,"Sussex County, VA",51183,"Southampton County, VA",51175
664,"Sussex County, VA",51183,"Surry County, VA",51181
665,"Sussex County, VA",51183,"Sussex County, VA",51183
666,"Tazewell County, VA",51185,"Bland County, VA",51021
667,"Tazewell County, VA",51185,"Buchanan County, VA",51027
668,"Tazewell County, VA",51185,"Russell County, VA",51167
669,"Tazewell County, VA",51185,"Smyth County, VA",51173
670,"Tazewell County, VA",51185,"Tazewell County, VA",51185
673,"Warren County, VA",51187,"Clarke County, VA",51043
674,"Warren County, VA",51187,"Fauquier County, VA",51061
675,"Warren County, VA",51187,"Frederick County, VA",51069
676,"Warren County, VA",51187,"Page County, VA",51139
677,"Warren County, VA",51187,"Rappahannock County, VA",51157
678,"Warren County, VA",51187,"Shenandoah County, VA",51171
679,"Warren County, VA",51187,"Warren County, VA",51187
682,"Washington County, VA",51191,"Grayson County, VA",51077
683,"Washington County, VA",51191,"Russell County, VA",51167
684,"Washington County, VA",51191,"Scott County, VA",51169
685,"Washington County, VA",51191,"Smyth County, VA",51173
686,"Washington County, VA",51191,"Washington County, VA",51191
687,"Washington County, VA",51191,"Bristol city, VA",51520
690,"Westmoreland County, VA",51193,"Essex County, VA",51057
691,"Westmoreland County, VA",51193,"King George County, VA",51099
692,"Westmoreland County, VA",51193,"Northumberland County, VA",51133
693,"Westmoreland County, VA",51193,"Richmond County, VA",51159
694,"Westmoreland County, VA",51193,"Westmoreland County, VA",51193
698,"Wise County, VA",51195,"Dickenson County, VA",51051
699,"Wise County, VA",51195,"Lee County, VA",51105
700,"Wise County, VA",51195,"Russell County, VA",51167
701,"Wise County, VA",51195,"Scott County, VA",51169
702,"Wise County, VA",51195,"Wise County, VA",51195
703,"Wise County, VA",51195,"Norton city, VA",51720
704,"Wythe County, VA",51197,"Bland County, VA",51021
705,"Wythe County, VA",51197,"Carroll County, VA",51035
706,"Wythe County, VA",51197,"Grayson County, VA",51077
707,"Wythe County, VA",51197,"Pulaski County, VA",51155
708,"Wythe County, VA",51197,"Smyth County, VA",51173
709,"Wythe County, VA",51197,"Wythe County, VA",51197
710,"York County, VA",51199,"Gloucester County, VA",51073
711,"York County, VA",51199,"James City County, VA",51095
712,"York County, VA",51199,"Mathews County, VA",51115
713,"York County, VA",51199,"Northampton County, VA",51131
714,"York County, VA",51199,"York County, VA",51199
715,"York County, VA",51199,"Hampton city, VA",51650
716,"York County, VA",51199,"Newport News city, VA",51700
717,"York County, VA",51199,"Poquoson city, VA",51735
718,"York County, VA",51199,"Williamsburg city, VA",51830
721,"Alexandria city, VA",51510,"Arlington County, VA",51013
722,"Alexandria city, VA",51510,"Fairfax County, VA",51059
723,"Alexandria city, VA",51510,"Alexandria city, VA",51510
727,"Bristol city, VA",51520,"Washington County, VA",51191
728,"Bristol city, VA",51520,"Bristol city, VA",51520
729,"Buena Vista city, VA",51530,"Rockbridge County, VA",51163
730,"Buena Vista city, VA",51530,"Buena Vista city, VA",51530
731,"Charlottesville city, VA",51540,"Albemarle County, VA",51003
732,"Charlottesville city, VA",51540,"Charlottesville city, VA",51540
735,"Chesapeake city, VA",51550,"Chesapeake city, VA",51550
736,"Chesapeake city, VA",51550,"Norfolk city, VA",51710
737,"Chesapeake city, VA",51550,"Portsmouth city, VA",51740
738,"Chesapeake city, VA",51550,"Suffolk city, VA",51800
739,"Chesapeake city, VA",51550,"Virginia Beach city, VA",51810
740,"Colonial Heights city, VA",51570,"Chesterfield County, VA",51041
741,"Colonial Heights city, VA",51570,"Colonial Heights city, VA",51570
742,"Colonial Heights city, VA",51570,"Petersburg city, VA",51730
743,"Covington city, VA",51580,"Alleghany County, VA",51005
744,"Covington city, VA",51580,"Covington city, VA",51580
746,"Danville city, VA",51590,"Pittsylvania County, VA",51143
747,"Danville city, VA",51590,"Danville city, VA",51590
748,"Emporia city, VA",51595,"Greensville County, VA",51081
749,"Emporia city, VA",51595,"Emporia city, VA",51595
750,"Fairfax city, VA",51600,"Fairfax County, VA",51059
751,"Fairfax city, VA",51600,"Fairfax city, VA",51600
752,"Falls Church city, VA",51610,"Arlington County, VA",51013
753,"Falls Church city, VA",51610,"Fairfax County, VA",51059
754,"Falls Church city, VA",51610,"Falls Church city, VA",51610
755,"Franklin city, VA",51620,"Isle of Wight County, VA",51093
756,"Franklin city, VA",51620,"Southampton County, VA",51175
757,"Franklin city, VA",51620,"Franklin city, VA",51620
758,"Fredericksburg city, VA",51630,"Spotsylvania County, VA",51177
759,"Fredericksburg city, VA",51630,"Stafford County, VA",51179
760,"Fredericksburg city, VA",51630,"Fredericksburg city, VA",51630
761,"Galax city, VA",51640,"Carroll County, VA",51035
762,"Galax city, VA",51640,"Grayson County, VA",51077
763,"Galax city, VA",51640,"Galax city, VA",51640
764,"Hampton city, VA",51650,"Northampton County, VA",51131
765,"Hampton city, VA",51650,"York County, VA",51199
766,"Hampton city, VA",51650,"Hampton city, VA",51650
767,"Hampton city, VA",51650,"Newport News city, VA",51700
768,"Hampton city, VA",51650,"Norfolk city, VA",51710
769,"Hampton city, VA",51650,"Poquoson city, VA",51735
770,"Hampton city, VA",51650,"Portsmouth city, VA",51740
771,"Hampton city, VA",51650,"Virginia Beach city, VA",51810
772,"Harrisonburg city, VA",51660,"Rockingham County, VA",51165
773,"Harrisonburg city, VA",51660,"Harrisonburg city, VA",51660
774,"Hopewell city, VA",51670,"Chesterfield County, VA",51041
775,"Hopewell city, VA",51670,"Prince George County, VA",51149
776,"Hopewell city, VA",51670,"Hopewell city, VA",51670
777,"Lexington city, VA",51678,"Rockbridge County, VA",51163
778,"Lexington city, VA",51678,"Lexington city, VA",51678
779,"Lynchburg city, VA",51680,"Amherst County, VA",51009
780,"Lynchburg city, VA",51680,"Bedford County, VA",51019
781,"Lynchburg city, VA",51680,"Campbell County, VA",51031
782,"Lynchburg city, VA",51680,"Lynchburg city, VA",51680
783,"Manassas city, VA",51683,"Prince William County, VA",51153
784,"Manassas city, VA",51683,"Manassas city, VA",51683
785,"Manassas city, VA",51683,"Manassas Park city, VA",51685
786,"Manassas Park city, VA",51685,"Prince William County, VA",51153
787,"Manassas Park city, VA",51685,"Manassas city, VA",51683
788,"Manassas Park city, VA",51685,"Manassas Park city, VA",51685
789,"Martinsville city, VA",51690,"Henry County, VA",51089
790,"Martinsville city, VA",51690,"Martinsville city, VA",51690
791,"Newport News city, VA",51700,"Isle of Wight County, VA",51093
792,"Newport News city, VA",51700,"James City County, VA",51095
793,"Newport News city, VA",51700,"Surry County, VA",51181
794,"Newport News city, VA",51700,"York County, VA",51199
795,"Newport News city, VA",51700,"Hampton city, VA",51650
796,"Newport News city, VA",51700,"Newport News city, VA",51700
797,"Newport News city, VA",51700,"Portsmouth city, VA",51740
798,"Newport News city, VA",51700,"Suffolk city, VA",51800
799,"Norfolk city, VA",51710,"Northampton County, VA",51131
800,"Norfolk city, VA",51710,"Chesapeake city, VA",51550
801,"Norfolk city, VA",51710,"Hampton city, VA",51650
802,"Norfolk city, VA",51710,"Norfolk city, VA",51710
803,"Norfolk city, VA",51710,"Portsmouth city, VA",51740
804,"Norfolk city, VA",51710,"Virginia Beach city, VA",51810
805,"Norton city, VA",51720,"Wise County, VA",51195
806,"Norton city, VA",51720,"Norton city, VA",51720
807,"Petersburg city, VA",51730,"Chesterfield County, VA",51041
808,"Petersburg city, VA",51730,"Dinwiddie County, VA",51053
809,"Petersburg city, VA",51730,"Prince George County, VA",51149
810,"Petersburg city, VA",51730,"Colonial Heights city, VA",51570
811,"Petersburg city, VA",51730,"Petersburg city, VA",51730
812,"Poquoson city, VA",51735,"Northampton County, VA",51131
813,"Poquoson city, VA",51735,"York County, VA",51199
814,"Poquoson city, VA",51735,"Hampton city, VA",51650
815,"Poquoson city, VA",51735,"Poquoson city, VA",51735
816,"Portsmouth city, VA",51740,"Chesapeake city, VA",51550
817,"Portsmouth city, VA",51740,"Hampton city, VA",51650
818,"Portsmouth city, VA",51740,"Newport News city, VA",51700
819,"Portsmouth city, VA",51740,"Norfolk city, VA",51710
820,"Portsmouth city, VA",51740,"Portsmouth city, VA",51740
821,"Portsmouth city, VA",51740,"Suffolk city, VA",51800
822,"Radford city, VA",51750,"Montgomery County, VA",51121
823,"Radford city, VA",51750,"Pulaski County, VA",51155
824,"Radford city, VA",51750,"Radford city, VA",51750
825,"Richmond city, VA",51760,"Chesterfield County, VA",51041
826,"Richmond city, VA",51760,"Henrico County, VA",51087
827,"Richmond city, VA",51760,"Richmond city, VA",51760
828,"Roanoke city, VA",51770,"Roanoke County, VA",51161
829,"Roanoke city, VA",51770,"Roanoke city, VA",51770
830,"Roanoke city, VA",51770,"Salem city, VA",51775
831,"Salem city, VA",51775,"Roanoke County, VA",51161
832,"Salem city, VA",51775,"Roanoke city, VA",51770
833,"Salem city, VA",51775,"Salem city, VA",51775
834,"Staunton city, VA",51790,"Augusta County, VA",51015
835,"Staunton city, VA",51790,"Staunton city, VA",51790
838,"Suffolk city, VA",51800,"Isle of Wight County, VA",51093
839,"Suffolk city, VA",51800,"Southampton County, VA",51175
840,"Suffolk city, VA",51800,"Chesapeake city, VA",51550
841,"Suffolk city, VA",51800,"Newport News city, VA",51700
842,"Suffolk city, VA",51800,"Portsmouth city, VA",51740
843,"Suffolk city, VA",51800,"Suffolk city, VA",51800
845,"Virginia Beach city, VA",51810,"Northampton County, VA",51131
846,"Virginia Beach city, VA",51810,"Chesapeake city, VA",51550
847,"Virginia Beach city, VA",51810,"Hampton city, VA",51650
848,"Virginia Beach city, VA",51810,"Norfolk city, VA",51710
849,"Virginia Beach city, VA",51810,"Virginia Beach city, VA",51810
850,"Waynesboro city, VA",51820,"Augusta County, VA",51015
851,"Waynesboro city, VA",51820,"Waynesboro city, VA",51820
852,"Williamsburg city, VA",51830,"James City County, VA",51095
853,"Williamsburg city, VA",51830,"York County, VA",51199
854,"Williamsburg city, VA",51830,"Williamsburg city, VA",51830
855,"Winchester city, VA",51840,"Frederick County, VA",51069
856,"Winchester city, VA",51840,"Winchester city, VA",51840
